What do you NOT need to do deep learning? (list 3 things)	<a href=https://storage.googleapis.com/aiquizzes/static/what_you_do_not_need.png><img src=https://storage.googleapis.com/aiquizzes/static/what_you_do_not_need.png></a><br><br><a href='https://aiquizzes.com/questions/1'>view answer on aiquizzes</a>
Why transfer learning?	When you use transfer learning you can take advantage of all the prelearned features. Researchers, organizations, invest a lot of time and resources to train large models on large amounts of data. Transfer learning allows us to take advantage of the work that has already been done, modify the architecture slightly, and fine tune the model on our problem. <a href=https://storage.googleapis.com/aiquizzes/static/pretraining.png><img src=https://storage.googleapis.com/aiquizzes/static/pretraining.png></a><br><br><a href='https://aiquizzes.com/questions/12'>view answer on aiquizzes</a>
What is p-value?	We pick some starting point assumption (say, there is no relationship between two variables). We then gather some data with measurements of independent and dependent variables. And then we ask ourselves, what % of the time will we see a relationship of this magnitude or greater by random chance?
One way to go about calculating the p-value would be by simulation. Another would be to use a mathematical formula to jump straight to this number. <a href=https://storage.googleapis.com/aiquizzes/static/p_value.png><img src=https://storage.googleapis.com/aiquizzes/static/p_value.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/p_value_wikipedia.png><img src=https://storage.googleapis.com/aiquizzes/static/p_value_wikipedia.png></a><br><br><br><a href='https://aiquizzes.com/questions/13'>view answer on aiquizzes</a>
What do we need to call on a pathlib.Path to delete the file? <a href=https://storage.googleapis.com/aiquizzes/static/path_unlink.png><img src=https://storage.googleapis.com/aiquizzes/static/path_unlink.png></a><br> 	<a href=https://storage.googleapis.com/aiquizzes/static/path_unlink_answer.png><img src=https://storage.googleapis.com/aiquizzes/static/path_unlink_answer.png></a><br><br><br><a href='https://aiquizzes.com/questions/14'>view answer on aiquizzes</a>
When is it easier to clean your data - before or after training? Why?	It is easier to clean your data after initial training, especially using the wonderful tools fastai provides. This way you can use the predictions from your model to help with this otherwise tedious and labor intensive task! <a href=https://storage.googleapis.com/aiquizzes/static/image_classifier_cleaner.png><img src=https://storage.googleapis.com/aiquizzes/static/image_classifier_cleaner.png></a><br><br><br><a href='https://aiquizzes.com/questions/15'>view answer on aiquizzes</a>
What are the two common problems with regards to data your model can encounter in production?	Out of domain data and domain shift.<br><br><a href='https://aiquizzes.com/questions/16'>view answer on aiquizzes</a>
Can you collect unbiased data?	No! All data is biased. One way of addressing this is writing down a lot of details on the data you are collecting, how it was gathered, in which context it is appropriate to use, how it is maintained, etc. You will not totally eliminate bias, but you will become much more aware of the attributes of your dataset and you increase the chance of not being blindsided by them later.<br><br><a href='https://aiquizzes.com/questions/17'>view answer on aiquizzes</a>
You cannot know the entire behavior of your neural network. A way of addressing this is devising a very careful deployment startegy. What could be the three steps of such a process?	<a href=https://storage.googleapis.com/aiquizzes/static/deploy_ml_models.png><img src=https://storage.googleapis.com/aiquizzes/static/deploy_ml_models.png></a><br><br><br><a href='https://aiquizzes.com/questions/18'>view answer on aiquizzes</a>
Do you need to use some specific fast.ai functionality to improve your model based on new data? What technique can be leveraged to great success in this context?	You do not need anything special - its basically just a transfer learning problem! Its a fine tuning situation where your pretrained model is yesterday&#39;s model and your fine tuning data is today&#39;s data.<br><br><a href='https://aiquizzes.com/questions/19'>view answer on aiquizzes</a>
What is one of the most challenging things (and why) when deploying ML models?	Feedback loops - because they can take a really minor issue and explode it into a major one. For instance, consider predictive policing. You police the areas the model suggests, you find crime as a natural byproduct of focusing on these areas, you feed that new data into the model and you got yourself a feedback loop! The model is now even more likely to suggest that these areas are to be policed, and if unchecked this model would lead to suggesting the entire police force should focus their efforts on a very small area. To quote <a href="https://rss.onlinelibrary.wiley.com/doi/full/10.1111/j.1740-9713.2016.00960.x">a paper</a> on this subject: &quot;predictive policing is aptly named: it is predicting future policing, not future crime&quot;.<br><br><a href='https://aiquizzes.com/questions/20'>view answer on aiquizzes</a>
When are you at risk of introducing a feedback loop?	When your model, its outputs, are controlling the data that goes into the next training round.<br><br><a href='https://aiquizzes.com/questions/21'>view answer on aiquizzes</a>
In many cases feedback loops are hard to avoid. What is a very good way to alleviate the situation?	Invest in a human in the loop! You still get 90%+ plus economic upside of automating everything, while still providing checks when things are about to go horribly wrong.<br><br><a href='https://aiquizzes.com/questions/22'>view answer on aiquizzes</a>
Why you should start blogging? (list 3 reasons)	<ul> <li>it is a great way of finding jobs</li> <li>it is like a resume, only better</li> <li>!!! helps you learn !!!</li> </ul> <br><br><a href='https://aiquizzes.com/questions/23'>view answer on aiquizzes</a>
When blogging, should you think about the most advanced thing you know and try to write a blog post that would impress Geoff Hinton? Why?	That is generally not a good idea. Most people are not Geoff Hinton. Trying to blog for someone who has more expertise than you is not likely to work well. Another consequence of this approach is that you have a small audience now - there is far more people who are not familiar with deep learning than who are.
The best advice? Try writing something that you from 6 months ago would find super interesting and very useful! <a href=https://storage.googleapis.com/aiquizzes/static/what_to_blog_on.png><img src=https://storage.googleapis.com/aiquizzes/static/what_to_blog_on.png></a><br><br><br><a href='https://aiquizzes.com/questions/24'>view answer on aiquizzes</a>
Why should you start each project with creating a baseline?	Because otherwise you will have no indication of how well you are doing! This is also the best way to get familiar with your data. <a href=https://storage.googleapis.com/aiquizzes/static/baseline.png><img src=https://storage.googleapis.com/aiquizzes/static/baseline.png></a><br><br><br><a href='https://aiquizzes.com/questions/25'>view answer on aiquizzes</a>
How do you reshape tensors in PyTorch?	By using the <code>view</code> method. <a href=https://storage.googleapis.com/aiquizzes/static/view.png><img src=https://storage.googleapis.com/aiquizzes/static/view.png></a><br><br><br><a href='https://aiquizzes.com/questions/26'>view answer on aiquizzes</a>
What is the difference between a metric and a loss? Which one has a nicely behaved gradient?	The metric is the thing we actually care about, the loss the thing that is similar to what we care about that has a nicely behaved gradient.<br><br><a href='https://aiquizzes.com/questions/27'>view answer on aiquizzes</a>
You have a tensor with <code>requires_grad=True</code>. How do you update its value <strong>without</strong> PyTorch keeping track of the calculation for calculating gradients?	You can achieve this by updating the <code>tensor.data</code> attribute of a tensor!. <a href=https://storage.googleapis.com/aiquizzes/static/tensor_data.png><img src=https://storage.googleapis.com/aiquizzes/static/tensor_data.png></a><br><br><br><a href='https://aiquizzes.com/questions/28'>view answer on aiquizzes</a>
What is the difference between Gradient Descent and Stochastic Gradient Descent?	Gradient Descent calculates the gradients on the entire dataset at one go. For Stochastic Gradient Descent (SGD) we calculate gradients on batches. Before moving onto the next batch, we modify our model&#39;s parameters based on the gradients. For each iteration through our dataset (which would be called an epoch) Gradient Descent would update the parameters once, SGD would perform as many updates as we have batches.<br><br><a href='https://aiquizzes.com/questions/29'>view answer on aiquizzes</a>
What are the two advantages of presizing, an augmentation method for images?	It performs the computatinally heavy warping of an image on the GPU. Also, through the way it has been implemented, it only performs one interpolation step, leading to the resultant image being of higher quality <a href=https://storage.googleapis.com/aiquizzes/static/presizing.png><img src=https://storage.googleapis.com/aiquizzes/static/presizing.png></a><br><br><br><a href='https://aiquizzes.com/questions/30'>view answer on aiquizzes</a>
You would like to evaluate how your augmentations work and ensure that everything looks okay. When calling <code>dls.show_batch(...)</code> (where <code>dls</code> is an instance of <code>Dataloaders</code>) what parameter do you need to pass to see a version of the same image augmented in different ways?	<code>unique=True</code> <a href=https://storage.googleapis.com/aiquizzes/static/show_batch_unique.png><img src=https://storage.googleapis.com/aiquizzes/static/show_batch_unique.png></a><br><br><br><a href='https://aiquizzes.com/questions/31'>view answer on aiquizzes</a>
What do you need to call on an instance of <code>DataBlock</code> in order to obtain a listing of the steps your example undergo as they are loaded and collated into a batch? (this is very useful for troubleshooting).	<code>datablock.summary(...)</code> <a href=https://storage.googleapis.com/aiquizzes/static/datablock_summary.png><img src=https://storage.googleapis.com/aiquizzes/static/datablock_summary.png></a><br><br><br><a href='https://aiquizzes.com/questions/32'>view answer on aiquizzes</a>
When can feedback loops occur? What are the consequences of feedback loops in the context of recommendation systems?	When your model is controlling the next round of data you train it on. A good example of this are recommendation systems - they predict what content a user will like, but they are also determining what content the user is even exposed to, and helping determine what has a chance of becoming popular. <a href=https://storage.googleapis.com/aiquizzes/static/feedback_loops.png><img src=https://storage.googleapis.com/aiquizzes/static/feedback_loops.png></a><br><br><br><a href='https://aiquizzes.com/questions/33'>view answer on aiquizzes</a>
AI algorithms (for instance, for determining health benefits) are so resilient to errors they do not need supervision nor a systemic way of identifying and fixing issues. True or false, and why?	The deployment of AI based software requires a good recourse and appeals process. Lack of transparency and oversight on life affecting decisions can bring forth a lot of suffering. A good way of monitoring the performance of an AI based system along with effective processes for making corrections are a must.<br><br><a href='https://aiquizzes.com/questions/34'>view answer on aiquizzes</a>
What are 3 examples of unintended consquences of the tech that you build?	When releasing new tech, the thing to consider is how your tech could be used: <ul> <li>by trolls, harassers</li> <li>by authoritarian governments</li> <li>for propaganda or disinformation</li> </ul> <a href=https://storage.googleapis.com/aiquizzes/static/unintended_consequences.png><img src=https://storage.googleapis.com/aiquizzes/static/unintended_consequences.png></a><br><br><br><a href='https://aiquizzes.com/questions/35'>view answer on aiquizzes</a>
In the Volkswagen diesel cheating case, who was the first person to end up in prison?	Not a board member, not the CEO, not the managers who coordinated the efforts - it was an engineer. They were following orders from what their boss told them to do, but that is not a good excuse for doing something that is unethical.<br><br><a href='https://aiquizzes.com/questions/36'>view answer on aiquizzes</a>
How does bureaucracy assign responsibility and why it is relevant to AI?	In the words of danah boyd &quot;It&#39;s always been a challenge for a bureaucracy to assign responsibility, bureaucracy is used to avoid responsibility&quot;. Today&#39;s algorithmic systems are often extending bureaucracy.<br><br><a href='https://aiquizzes.com/questions/37'>view answer on aiquizzes</a>
Is ethics culturally dependent?	Yes.<br><br><a href='https://aiquizzes.com/questions/38'>view answer on aiquizzes</a>
What is algorithmic colonialism?	It is a field that studies what are some of the issues when you have technologies built in one particular country and culture being implemented half way across the world in very different cultural contexts often with very little to no input from people living in that culture.<br><br><a href='https://aiquizzes.com/questions/39'>view answer on aiquizzes</a>
Can you absolutely trust the data you are gathering? Why?	No, because data can contain errors, some that can be very subtle. That is why you need to work on maintaining and improving your data. Also, as a person subjected to the workings of the algorithms, very often you will not be able to learn what was the data that the agorithm made its decision on (and thus you will not be able to verify if that data is correct or not)! <a href=https://storage.googleapis.com/aiquizzes/static/data_errors.png><img src=https://storage.googleapis.com/aiquizzes/static/data_errors.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/credit_errors.png><img src=https://storage.googleapis.com/aiquizzes/static/credit_errors.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/garbage_in_garbage_out.png><img src=https://storage.googleapis.com/aiquizzes/static/garbage_in_garbage_out.png></a><br><br><br><a href='https://aiquizzes.com/questions/40'>view answer on aiquizzes</a>
Why is it important to understand the issues around the use of metrics to track performance?	Because much of AI/ML centers on optimizing a metric. Understanding the issues that can arise when pursuing improvement of a metric is fundamental to rolling out AI/ML systems. The more we know about this area, the higher the chance our system will not act in a completely surprising (and ofen counterproductive way) and if it does, that we will be able to pick up on this behavior and implement countermeasures. <a href=https://storage.googleapis.com/aiquizzes/static/problem_with_metrics.png><img src=https://storage.googleapis.com/aiquizzes/static/problem_with_metrics.png></a><br><br><br><a href='https://aiquizzes.com/questions/41'>view answer on aiquizzes</a>
What are our online environments designed to be like?	<a href=https://storage.googleapis.com/aiquizzes/static/online_environments.png><img src=https://storage.googleapis.com/aiquizzes/static/online_environments.png></a><br><br><br><a href='https://aiquizzes.com/questions/42'>view answer on aiquizzes</a>
What are the potential sources of bias in your data / modelling pipeline?	<ul> <li>evaluation bias</li> <li>aggregation bias</li> <li>historical bias</li> <li>representation bias</li> <li>measurement bias</li> </ul> <a href=https://storage.googleapis.com/aiquizzes/static/sources_of_bias.png><img src=https://storage.googleapis.com/aiquizzes/static/sources_of_bias.png></a><br><br><br><a href='https://aiquizzes.com/questions/43'>view answer on aiquizzes</a>
What is evaluation bias?	When the performance of the model vary widely across some important feature of the data it will be run on. Often, the source of this bias is not having a diverse enough dataset used for training. <a href=https://storage.googleapis.com/aiquizzes/static/representation_bias.png><img src=https://storage.googleapis.com/aiquizzes/static/representation_bias.png></a><br><br><br><a href='https://aiquizzes.com/questions/44'>view answer on aiquizzes</a>
Often unethical behavior is driven by management - what can an individual engineer do?	For many of us working in tech, we tend to have a lot of options, often more options than we realize. The are so many companies hiring in tech and this is a leverage that can be used. Employee organizing movements are very promising. Vetting the ethics of a company you are joining is a good practice. And the ultimate weapon in your arsenal - walking away and pursuing other opportunities.<br><br><a href='https://aiquizzes.com/questions/45'>view answer on aiquizzes</a>
What is evaluation bias?	When the common datasets used for evaluating research / tools themselves exhibit representation bias. When the benchmark that is widely used has bias, it is replicated at scale. <a href=https://storage.googleapis.com/aiquizzes/static/evaluation_bias.png><img src=https://storage.googleapis.com/aiquizzes/static/evaluation_bias.png></a><br><br><br><a href='https://aiquizzes.com/questions/46'>view answer on aiquizzes</a>
What is historical bias?	It is a fundamental, structural issue with the first step of the data generation process and can exist even given perfect sampling and feature selection. Gathering more data is usually not the way to fix it as the problem is with the method that generates the data, that mechanism is biased (for instance, the justice system - if it is biased, anything we trained on its outputs will inherit the bias).<br> <br>One way to mitigate this would be to talk to domain experts and those impacted. <a href=https://storage.googleapis.com/aiquizzes/static/historical_bias.png><img src=https://storage.googleapis.com/aiquizzes/static/historical_bias.png></a><br><br><br><a href='https://aiquizzes.com/questions/47'>view answer on aiquizzes</a>
What is measurement bias?	It occurs when we measure what we already have measurements for or measure what is easy to measure, and not measure what would need to be measured to paint a complete picture. <a href=https://storage.googleapis.com/aiquizzes/static/historical_bias.png><img src=https://storage.googleapis.com/aiquizzes/static/historical_bias.png></a><br><br><br><a href='https://aiquizzes.com/questions/48'>view answer on aiquizzes</a>
Does even a bit of diversity help?	Yes. The more diverse a team, the stronger it is, but it makes sense to fight even for the tiniest bit of improvement in the right direction as it can go a long way.<br><br><a href=https://storage.googleapis.com/aiquizzes/static/racial_bias.png><img src=https://storage.googleapis.com/aiquizzes/static/racial_bias.png></a><br><br><br><a href='https://aiquizzes.com/questions/49'>view answer on aiquizzes</a>
Why does algorithmic bias matter?	<ul> <li>machine learning can amplify bias - it is not only encoding it, but it can also make it worse</li> <li>algorithms are used differently than human decision makers</li> <li>machine learning can create feedback loops</li> <li>technology is power - with great power comes great responsiblity</li> <a href=https://storage.googleapis.com/aiquizzes/static/ml_can_amplify_bias.png><img src=https://storage.googleapis.com/aiquizzes/static/ml_can_amplify_bias.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/algorithms_are_used_differently.png><img src=https://storage.googleapis.com/aiquizzes/static/algorithms_are_used_differently.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/why_algorithmic_bias_matters.png><img src=https://storage.googleapis.com/aiquizzes/static/why_algorithmic_bias_matters.png></a><br> </ul><br><br><a href='https://aiquizzes.com/questions/50'>view answer on aiquizzes</a>
How do we debias our data or ensure it is bias free?	This is not possible. All data contains bias. The most important thing is to understand how your dataset was created and what its limitations are so that you are not blindsided by that bias, but you are never going to fully remove it. <a href=https://storage.googleapis.com/aiquizzes/static/why_algorithmic_bias_matters.png><img src=https://storage.googleapis.com/aiquizzes/static/why_algorithmic_bias_matters.png></a><br><br><br><a href='https://aiquizzes.com/questions/51'>view answer on aiquizzes</a>
What is disinformation? (list the three things it involves)	It is not about a single post being true or false - it is an orchestrated campaign of disinformation. It <ul> <li>involves seeds of truth (best propaganda always involves kernels of truth)</li> <li>involves misleading context</li> <li>can involve very sincere people that get swept up in it</li> </ul> <a href=https://storage.googleapis.com/aiquizzes/static/disinfo_1.png><img src=https://storage.googleapis.com/aiquizzes/static/disinfo_1.png></a><br> Disinformation is an ecosystem - it is not just a single news post or a single story that is misleading or that has false claims in it, it is a bigger ecosystem. <a href=https://storage.googleapis.com/aiquizzes/static/disinformation_is_an_ecosystem.png><img src=https://storage.googleapis.com/aiquizzes/static/disinformation_is_an_ecosystem.png></a> <a href=https://storage.googleapis.com/aiquizzes/static/trumpet_of_amplification.png><img src=https://storage.googleapis.com/aiquizzes/static/trumpet_of_amplification.png></a><br><br><br><a href='https://aiquizzes.com/questions/52'>view answer on aiquizzes</a>
What is the new form of censorship?	It is about drowning people out and so it is not necessarily forbidding someone from saying something but totally drowning them out with massive quantity of text, information and comments. AI can really facilitate that and as of now there does not exists a good solution to this. One suggestion by Oren Etzioni is to start using digital signatures as a form of authentication. <a href=https://storage.googleapis.com/aiquizzes/static/drowning_people_out_with_comments.png><img src=https://storage.googleapis.com/aiquizzes/static/drowning_people_out_with_comments.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/drowning_people_out_with_AI.png><img src=https://storage.googleapis.com/aiquizzes/static/drowning_people_out_with_AI.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/digital_signatures.png><img src=https://storage.googleapis.com/aiquizzes/static/digital_signatures.png></a><br><br><br><a href='https://aiquizzes.com/questions/53'>view answer on aiquizzes</a>
What is Ethical Risk Sweeping?	It is a scheduled risk sweeping activity where a team strives to identify ethical risks, that is choices that may cause significant harm to persons or other entities with a moral status or are likely to spark acute moral controversy for other reasons. <a href=https://storage.googleapis.com/aiquizzes/static/ethical_risk_sweeping.png><img src=https://storage.googleapis.com/aiquizzes/static/ethical_risk_sweeping.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/ethical_risk_sweeping_text.png><img src=https://storage.googleapis.com/aiquizzes/static/ethical_risk_sweeping_text.png></a><br><br><br><a href='https://aiquizzes.com/questions/54'>view answer on aiquizzes</a>
What is Expanding the Ethical Circle?	It is a practice that encourages the design team (or people working on the machine learning model) to invite stakeholder input and perspectives beyond their own. <a href=https://storage.googleapis.com/aiquizzes/static/expanding_the_ethical_circle.png><img src=https://storage.googleapis.com/aiquizzes/static/expanding_the_ethical_circle.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/expanding_the_ethical_circle_text.png><img src=https://storage.googleapis.com/aiquizzes/static/expanding_the_ethical_circle_text.png></a><br><br><br><a href='https://aiquizzes.com/questions/55'>view answer on aiquizzes</a>
What is the Think About the Terrible People exercise about?	If the tool you are working on was to be used by people with bad intentions, how could it be leveraged? This activity helps us consider how the tool we are developing could be used by bad actors. <a href=https://storage.googleapis.com/aiquizzes/static/think_about_terrible_people.png><img src=https://storage.googleapis.com/aiquizzes/static/think_about_terrible_people.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/think_about_terrible_people_text.png><img src=https://storage.googleapis.com/aiquizzes/static/think_about_terrible_people_text.png></a><br><br><br><a href='https://aiquizzes.com/questions/56'>view answer on aiquizzes</a>
What is the objective of the Closing the Loop: Ethical Feedback &amp; Iteration activity?	Its purpose is to develop formal procedures and chains of responsibility for ethical iteration. We need such ongoing practices as ethical design/engineering is never a finished task. <a href=https://storage.googleapis.com/aiquizzes/static/closing_the_loop_ethical_feedback.png><img src=https://storage.googleapis.com/aiquizzes/static/closing_the_loop_ethical_feedback.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/closing_the_loop_ethical_feedback_text.png><img src=https://storage.googleapis.com/aiquizzes/static/closing_the_loop_ethical_feedback_text.png></a><br><br><br><a href='https://aiquizzes.com/questions/57'>view answer on aiquizzes</a>
Why having a diverse team makes you much more effective?	Because it allows you to capture more unique perspectives and build them into your product / service and thus making it better, more appealing for a broader / target audience. An example mentioned in the lecture is that of Tracy Chou, an early engineer at Quora. Her perspective as a woman led to her identifying and implementing a feature that greatly improved the experience for women using the site. How would have forgoing such a large user segment impacted the growth of Quora? <a href=https://storage.googleapis.com/aiquizzes/static/quora_diversity.png><img src=https://storage.googleapis.com/aiquizzes/static/quora_diversity.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/pipeline_vs_diversity.png><img src=https://storage.googleapis.com/aiquizzes/static/pipeline_vs_diversity.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/reasons_women_leave_tech.png><img src=https://storage.googleapis.com/aiquizzes/static/reasons_women_leave_tech.png></a><br><br><br><a href='https://aiquizzes.com/questions/58'>view answer on aiquizzes</a>
Why do we need policy (list 4 reasons) AND ethical industry behavior (list 2 reasons)?	Policy is the appropriate tool for addressing: <ul> <li>negative externalities</li> <li>misaligned economic incentives</li> <li>&quot;race to the bottom&quot; situations</li> <li>enforcing accountability</li> </ul> Ethical behavior in industry is necessary as well, since: <ul> <li>law will not always keep up</li> <li>edge cases arise</li> </ul> <a href=https://storage.googleapis.com/aiquizzes/static/policy_vs_determining_role_in_genocide.png><img src=https://storage.googleapis.com/aiquizzes/static/policy_vs_determining_role_in_genocide.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/policy_and_ethical_industry_behavior.png><img src=https://storage.googleapis.com/aiquizzes/static/policy_and_ethical_industry_behavior.png></a><br><br><br><a href='https://aiquizzes.com/questions/59'>view answer on aiquizzes</a>
What is a <code>Dataset</code> in fastai?	A dataset is something that can be indexed into and that implements the <code><strong>len</strong></code> method (that can have <code>len(...)</code>) called on itself. Once we have a Dataset, we can pass it to a Dataloader. <a href=https://storage.googleapis.com/aiquizzes/static/dataset.png><img src=https://storage.googleapis.com/aiquizzes/static/dataset.png></a><br><br><br><a href='https://aiquizzes.com/questions/60'>view answer on aiquizzes</a>
What is <code>Datasets</code> in fastai?	A <code>Datasets</code> is an object that groups together a training and a validation dataset. It also accepts a list of transforms. <a href=https://storage.googleapis.com/aiquizzes/static/datasets.png><img src=https://storage.googleapis.com/aiquizzes/static/datasets.png></a><br><br><br><a href='https://aiquizzes.com/questions/61'>view answer on aiquizzes</a>
